idArticle,Prix,Modele,Syteme_exploitation,Taille_ecran,Memoire_ROM,Autonomie,idMarque
1,1299,"Iphone 14 pro max","IOS",6,128,29,1
2,1419,"Iphone 14 pro max","IOS",6,256,29,1
3,1659,"Iphone 14 pro max","IOS",6,512,29,1
4,1899,"Iphone 14 pro max","IOS",6,1000,29,1
5,1179,"Iphone 14 pro","IOS",6,128,29,1
6,1299,"Iphone 14 pro","IOS",6,256,29,1
7,1539,"Iphone 14 pro","IOS",6,512,29,1
8,1779,"Iphone 14 pro","IOS",6,1000,29,1
9,1049,"Iphone 14 plus","IOS",6,128,26,1
10,1169,"Iphone 14 plus","IOS",6,256,26,1
11,1409,"Iphone 14 plus","IOS",6,512,26,1
12,929,"Iphone 14","IOS",6,128,26,1
13,1049,"Iphone 14","IOS",6,256,26,1
14,1289,"Iphone 14","IOS",6,512,26,1
15,760,"Iphone 13 pro max","IOS",6,128,26,1
16,840,"Iphone 13 pro max","IOS",6,256,26,1
17,940,"Iphone 13 pro max","IOS",6,512,26,1
18,1070,"Iphone 13 pro max","IOS",6,1000,26,1
19,1030,"Iphone 13 pro","IOS",6,128,24,1
20,1348,"Iphone 13 pro","IOS",6,256,24,1
21,1288,"Iphone 13 pro","IOS",6,512,24,1
22,1381,"Iphone 13 pro","IOS",6,1000,24,1
23,829,"Iphone 13","IOS",6,128,19,1
24,949,"Iphone 13","IOS",6,256,19,1
25,1189,"Iphone 13","IOS",6,512,19,1
26,699,"Iphone 13 mini","IOS",5,128,19,1
27,819,"Iphone 13 mini","IOS",5,256,19,1
28,1059,"Iphone 13 mini","IOS",5,512,19,1
29,1349,"Samsung S23 ultra","Android",6,256,48,2
30,1499,"Samsung S23 ultra","Android",6,512,48,2
31,1699,"Samsung S23 ultra","Android",6,1000,48,2
32,1149,"Samsung S23+","Android",6,256,48,2
33,1249,"Samsung S23+","Android",6,512,48,2
34,899,"Samsung S23","Android",6,128,48,2
35,949,"Samsung S23","Android",6,256,48,2
36,1349,"Samsung S22 ultra","Android",6,256,24,2
37,1499,"Samsung S22 ultra","Android",6,512,24,2
38,899,"Samsung S22+","Android",6,256,24,2
39,829,"Samsung S22","Android",6,128,24,2
40,879,"Samsung S22","Android",6,256,24,2
41,579,"Samsung S21 ultra","Android",6,128,13,2
42,619,"Samsung S21 ultra","Android",6,256,13,2
43,839,"Samsung S21+","Android",6,128,13,2
44,879,"Samsung S21+","Android",6,256,13,2
45,599,"Samsung S21","Android",6,128,13,2
46,899,"Samsung S21","Android",6,256,13,2
47,649,"Samsung S21 FE","Android",6,128,12,2
48,719,"Samsung S21 FE","Android",6,256,12,2
49,1079,"Samsung Z Flip4","Android",6,128,24,2
50,1139,"Samsung Z Flip4","Android",6,256,24,2
51,1179,"Samsung Z Flip4","Android",6,512,24,2
52,500,"Samsung A54","Android",6,128,24,2
53,1579,"Samsung Z Fold4","Android",7,256,13,2
54,1899,"Samsung Z Fold4","Android",7,512,13,2
55,2150,"Samsung Z Fold4","Android",7,1000,13,2
56,1299,"Xiaomi 13 pro","Android",6,256,48,3
57,999,"Xiaomi 13","Android",6,256,48,3
58,499,"Xiaomi 13 lite","Android",6,128,24,3
59,799,"Xiaomi 12T pro","Android",7,256,24,3
60,699,"Xiaomi 12T","Android",6,256,24,3
61,449,"Xiaomi 12 lite","Android",6,128,10,3
62,899,"Xiaomi 12","Android",6,256,12,3
63,1199,"Xiaomi 12 pro","Android",6,256,12,3
64,549,"Xiaomi 11T","Android",6,128,18,3
65,550,"Samsung A54","Android",6,256,24,3
